"From NY intraday market price for zone N.Y.C. - taken from 10/10/18 - n_total = 298				",
"				",
t,price
10.10.2018 00:00,33.84
10.10.2018 00:02,37.97
10.10.2018 00:05,34.05
10.10.2018 00:09,34.05
10.10.2018 00:10,37.92
10.10.2018 00:11,37.92
10.10.2018 00:15,35.49
10.10.2018 00:20,35.49
10.10.2018 00:25,34.29
10.10.2018 00:30,34.83
10.10.2018 00:35,35.95
10.10.2018 00:40,34.64
10.10.2018 00:45,32.62
10.10.2018 00:50,27.89
10.10.2018 00:55,27.12
10.10.2018 01:00,31.67
10.10.2018 01:05,37.62
10.10.2018 01:10,36.31
10.10.2018 01:15,33.85
10.10.2018 01:20,33.45
10.10.2018 01:25,27.37
10.10.2018 01:30,26.09
10.10.2018 01:35,25.84
10.10.2018 01:40,25.58
10.10.2018 01:45,25.58
10.10.2018 01:50,25.5
10.10.2018 01:55,25.45
10.10.2018 01:59,25.86
10.10.2018 02:00,23.04
10.10.2018 02:01,23.04
10.10.2018 02:05,23.13
10.10.2018 02:10,23.13
10.10.2018 02:15,19.33
10.10.2018 02:20,19.34
10.10.2018 02:25,19.27
10.10.2018 02:30,22.98
10.10.2018 02:35,21.23
10.10.2018 02:40,21.23
10.10.2018 02:45,21.21
10.10.2018 02:50,23.43
10.10.2018 02:55,23.39
10.10.2018 03:00,19.79
10.10.2018 03:05,15.11
10.10.2018 03:10,19.39
10.10.2018 03:15,19.57
10.10.2018 03:20,20.07
10.10.2018 03:25,19.99
10.10.2018 03:30,19.97
10.10.2018 03:35,19.93
10.10.2018 03:40,19.93
10.10.2018 03:45,19.97
10.10.2018 03:50,19.71
10.10.2018 03:55,19.76
10.10.2018 04:00,19.89
10.10.2018 04:05,23.12
10.10.2018 04:10,23.42
10.10.2018 04:15,19.99
10.10.2018 04:20,23.44
10.10.2018 04:25,19.89
10.10.2018 04:30,19.81
10.10.2018 04:35,19.91
10.10.2018 04:40,23.44
10.10.2018 04:45,19.8
10.10.2018 04:50,19.51
10.10.2018 04:55,19.51
10.10.2018 05:00,19.82
10.10.2018 05:05,23.64
10.10.2018 05:10,25.52
10.10.2018 05:15,25.52
10.10.2018 05:20,25.52
