"Randomly generated prices between 30 and 200 - n = 10000	",
"	",
t,price
1,132.98
2,134.769
3,39.4162
4,186.072
5,89.9583
6,118.508
7,107.741
8,137.122
9,140.993
10,128.259
11,43.5979
12,169.823
13,113.57
14,52.9376
15,199.899
16,105.032
17,193.794
18,69.505
19,103.064
20,188.114
21,157.597
22,113.432
23,199.925
24,96.2239
25,37.7817
26,94.2415
27,59.804
28,164.069
29,123.494
30,155.272
31,172.425
32,158.692
33,192.577
34,93.7863
35,104.89
36,143.041
37,193.249
38,139.724
39,100.481
40,184.748
41,85.8296
42,30.872
43,46.1225
44,131.589
45,119.372
46,56.913
47,141.196
48,175.836
49,121.768
50,190.135
51,156.209
52,73.974
53,153.297
54,153.645
55,68.216
56,50.5042
57,142.987
58,79.6871
59,147.047
60,153.992
61,39.5113
62,138.987
63,191.308
64,95.0222
65,37
66,95.4696
67,98.694
68,108.355
69,30.0071
70,192.26
71,173.874
72,38.0359
73,141.185
74,114.695
75,33.3171
76,111.663
77,73.7121
78,96.4894
79,80.3304
80,137.845
81,148.9
82,32.1816
83,179.704
84,33.7924
85,148.576
86,54.3923
87,50.6963
88,47.5486
89,183.922
90,119.034
91,166.012
92,108.597
93,129.125
94,126.715
95,48.8361
96,148.158
97,47.7402
98,135.52
99,119.127
100,81.2547
101,162.518
102,80.4807
103,103.524
104,167.876
105,123.491
106,116.604
107,94.9009
108,135.452
109,43.4326
110,147.747
111,31.7554
112,109.905
113,91.4459
114,47.9775
115,188.674
116,162.607
117,33.8966
118,49.6912
119,156.357
120,95.8734
121,144.174
122,166.458
123,130.098
124,106.479
125,89.7162
126,189.384
127,129.29
128,101.192
129,137.092
130,165.444
131,170.108
132,134.846
133,193.264
134,64.3182
135,50.334
136,194.143
137,143.622
138,188.209
139,166.789
140,40.5604
141,30.6368
142,34.3144
143,40.8477
144,67.6689
145,137.705
146,121.047
147,171.453
148,73.0021
149,93.8532
150,185.546
151,147.02
152,39.2235
153,109.625
154,199.103
155,182.021
156,33.2568
157,50.526
158,156.938
159,103.316
160,171.06
161,80.323
162,194.526
163,194.109
164,192.131
165,60.396
166,35.6371
167,94.7704
168,182.587
169,46.0797
170,141.294
171,147.311
